node1,node2,serial class,NBI class,structure member,X,Y,objectid,structure_number_008,record_type_005a,route_prefix_005b,service_level_005c,route_number_005d,direction_005e,highway_district_002,county_code_003,place_code_004,features_desc_006a,critical_facility_006b,facility_carried_007,location_009,min_vert_clr_010,kilopoint_011,base_hwy_network_012,lrs_inv_route_013a,subroute_no_013b,lat_016,long_017,detour_kilos_019,toll_020,maintenance_021,owner_022,functional_class_026,year_built_027,traffic_lanes_on_028a,traffic_lanes_und_028b,adt_029,year_adt_030,design_load_031,appr_width_mt_032,median_code_033,degrees_skew_034,structure_flared_035,railings_036a,transitions_036b,appr_rail_036c,appr_rail_end_036d,history_037,navigation_038,nav_vert_clr_mt_039,nav_horr_clr_mt_040,open_closed_posted_041,service_on_042a,service_und_042b,structure_kind_043a,structure_type_043b,appr_kind_044a,appr_type_044b,main_unit_spans_045,appr_spans_046,horr_clr_mt_047,max_span_len_mt_048,structure_len_mt_049,left_curb_mt_050a,right_curb_mt_050b,roadway_width_mt_051,deck_width_mt_052,vert_clr_over_mt_053,vert_clr_und_ref_054a,vert_clr_und_054b,lat_und_ref_055a,lat_und_mt_055b,left_lat_und_mt_056,deck_cond_058,superstructure_cond_059,substructure_cond_060,channel_cond_061,culvert_cond_062,opr_rating_meth_063,operating_rating_064,inv_rating_meth_065,inventory_rating_066,structural_eval_067,deck_geometry_eval_068,undclrence_eval_069,posting_eval_070,waterway_eval_071,appr_road_eval_072,work_proposed_075a,work_done_by_075b,imp_len_mt_076,date_of_inspect_090,inspect_freq_months_091,fracture_092a,undwater_look_see_092b,spec_inspect_092c,fracture_last_date_093a,undwater_last_date_093b,spec_last_date_093c,bridge_imp_cost_094,roadway_imp_cost_095,total_imp_cost_096,year_of_imp_097,other_state_code_098a,other_state_pcnt_098b,othr_state_struc_no_099,strahnet_highway_100,parallel_structure_101,traffic_direction_102,temp_structure_103,highway_system_104,federal_lands_105,year_reconstructed_106,deck_structure_type_107,surface_type_108a,membrane_type_108b,deck_protection_108c,percent_adt_truck_109,national_network_110,pier_protection_111,bridge_len_ind_112,scour_critical_113,future_adt_114,year_of_future_adt_115,min_nav_clr_mt_116,fed_agency,submitted_by,bridge_condition,lowest_rating,deck_area,longdd,latdd,longdd_1,latdd_1
0,1,0,10,37 0072,-13586658.26,4495602.872,113921,37 0072,1,2,1,101,0,4,85,49670,'ELLIS STREET & VTA LRT',,'U.S. HIGHWAY 101','04-SCL-101-47.01-MVW',100,47,1,101,1,37241525,122030370,2,3,1,1,12,1961,8,4,155000,2009,6,40,3,25,0,0,1,1,1,5,N,0,0,A,1,4,2,4,0,0,4,0,20,18,59,0,0,40,42,100,H,7,H,2,1,5,7,7,N,N,0,54,0,32,7,9,5,5,N,8,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,1989,1,0,0,0,3,1,,Y,N,221268,2040,,N,6,F,5,2495,,,,
0,1,1,6,37 0034,-13588582.54,4496180.169,113909,37 0034,1,2,1,101,0,4,85,49670,'STEVENS CREEK',,'U.S. HIGHWAY 101','04-SCL-101-48.04-MVW',100,48,1,101,1,37243008,122040593,3,3,1,1,12,1932,10,0,155000,2009,5,60,3,26,1,1,0,1,0,5,0,0,0,A,1,5,1,4,0,0,2,0,31,9,15,0,0,60,61,100,N,0,N,0,0,5,7,6,8,N,8,25,8,19,4,9,N,5,8,8,,,,220,24,N  ,N  ,N  ,,,,,,,,,,               ,1,N,2,,1,0,2005,1,6,0,0,3,1,,Y,8,221268,2040,,N,6,F,5,927,,,,
0,5,0,22,37 0207,-13588592.75,4493727.169,114018,37 0207,1,3,1,85,0,4,85,49670,'CALTRAIN UP RR CENTRAL ',,'STATE ROUTE 85','04-SCL-085-R22.63-MVW',100,23,1,85,1,37232706,122040626,5,3,1,1,12,1965,6,10,115000,2009,5,34,3,99,0,0,1,1,1,5,N,0,0,A,1,4,6,2,2,2,1,6,17,27,133,0,0,33,34,100,R,8,H,2,1,6,7,8,N,N,A,54,A,32,7,9,4,5,N,8,,,,616,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,1,0,1998,1,0,0,0,3,1,,Y,N,139717,2034,,N,6,F,6,4562,,,,
0,5,1,10,37 0187,-13588736.23,4495377.879,114000,37 0187,1,3,1,85,0,4,85,49670,'MOFFETT BOULEVARD',,'STATE ROUTE 85','04-SCL-085-R23.44-MVW',100,23,1,85,1,37240947,122041090,2,3,1,1,12,1965,6,4,72000,2009,5,40,3,46,1,1,1,1,1,5,N,0,0,A,1,1,2,4,0,0,4,0,23,19,63,0,0,40,41,100,H,5,H,3,2,7,5,7,N,N,1,57,1,34,5,9,4,5,N,8,,,,618,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,1998,1,0,0,0,2,1,,Y,N,89869,2037,,N,6,F,5,2612,,,,
0,5,2,10,37 0197,-13588590.89,4494428.523,114008,37 0197,1,3,1,85,0,4,85,49670,'STEVENS CREEK',,'STATE ROUTE 85','04-SCL-085-R22.95-MVW',100,23,1,85,1,37234508,122040620,2,3,1,1,12,1965,7,0,115000,2009,5,45,3,99,1,0,0,0,0,5,0,0,0,A,1,5,2,4,0,0,3,0,28,15,37,0,0,45,46,100,N,0,N,0,0,6,7,5,9,N,8,36,8,28,5,9,N,5,9,8,,,,618,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,1998,1,0,0,0,3,1,,Y,8,139253,2037,,N,6,F,5,1711,,,,
0,5,3,21,37 0610E,-13588778.28,4496148.637,114357,37 0610E,1,3,7,85,0,4,85,49670,'U.S. HWY 101 SB & RAMP',,'RTE 85-101 HOV CON','04-SCL-085-R23.83-MVW',100,24,1,85,1,37242927,122041226,1,3,1,1,12,2006,2,6,64000,1998,6,14,3,0,0,1,1,1,1,5,N,0,0,A,1,1,6,5,0,0,3,0,7,80,200,0,0,14,16,100,H,6,H,3,3,7,7,7,N,N,A,54,A,32,7,9,4,5,N,8,,,,618,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,2,,1,0,0,1,0,0,0,6,1,,Y,N,221485,2036,,N,6,G,7,3180,,,,
0,5,3,21,37 0611G,-13588738.7,4496126.058,114358,37 0611G,1,3,7,85,0,4,85,49670,'U.S. HIGHWAY 101  SB RMP',,'N85-N101 CONNECTOR','04-SCL-085-R23.81-MVW',100,24,1,85,1,37242869,122041098,1,3,1,1,12,2005,2,10,64000,1998,6,12,0,0,0,1,1,1,1,5,N,0,0,A,1,1,6,5,0,0,4,0,12,63,217,0,0,12,13,100,H,6,H,3,2,7,7,7,N,N,A,54,A,32,7,9,4,5,N,8,,,,618,24,N  ,N  ,N  ,,,,,,,,,,               ,0,R,1,,1,0,0,1,0,0,0,6,1,,Y,N,221485,2036,,N,6,G,7,2734,,,,
0,5,3,21,37 0572S,-13588703.76,4496131.119,114344,37 0572S,1,3,7,85,0,4,85,49670,'U.S. HIGHWAY 101 & RAMPS',,'RTE 85 N OFF-RAMP','04-SCL-085-R23.81-MVW',100,24,1,85,0,37242882,122040985,1,3,1,1,12,2004,2,12,40000,2004,6,11,0,0,0,1,1,1,1,5,N,0,0,A,1,1,6,5,0,0,3,0,11,72,190,0,0,11,12,100,H,7,H,3,3,7,7,7,N,N,A,54,A,32,7,7,4,5,N,8,,,,618,24,N  ,N  ,N  ,,,,,,,,,,               ,0,L,1,,1,0,0,1,0,0,0,7,1,,Y,N,52734,2036,,N,6,G,7,2223,,,,
0,69,0,2,37 0547K,-13589025.04,4496323.427,114333,37 0547K,1,2,7,101,0,4,85,49670,'SB 101-SB 85 CONNECTOR',0,'SB 101 ON-RAMP','04-SCL-101-48.28-MVW',100,48,1,101,1,37243376,122042024,2,3,1,1,12,2005,1,2,6400,2001,6,8,0,0,0,1,1,1,1,5,N,0,0,A,1,1,6,5,0,0,4,0,7,47,165,0,0,7,8,100,H,8,H,3,2,7,7,7,N,N,A,54,A,32,7,6,3,5,N,8,0,0,0,220,24,N  ,N  ,N  ,0,0,0,0,0,0,0,0,0,               ,1,N,1,0,1,0,0,1,0,0,0,7,1,0,Y,N,10760,2042,0,N,6,G,7,1338,0,0,0,0
0,69,1,21,37 0573S,-13590201.93,4497052.986,114345,37 0573S,1,2,7,101,0,4,85,49670,'U.S. HIGHWAY 101',0,'NB 101 OFF-RAMP','04-SCL-101-48.97-MVW',100,49,1,101,1,37245250,122045830,2,3,1,1,12,2005,2,9,8000,2001,6,12,0,0,0,1,0,0,1,5,N,0,0,A,1,1,6,5,0,0,3,0,11,49,124,0,0,11,12,100,H,6,H,4,1,7,7,7,N,N,A,54,A,32,7,7,4,5,N,8,0,0,0,220,24,N  ,N  ,N  ,0,0,0,0,0,0,0,0,0,               ,2,N,1,0,1,0,0,1,0,0,0,5,1,0,Y,N,10408,2042,0,N,6,G,7,1434,0,0,0,0
