init_node,term_node,capacity,length
1,3,4.938061313,0.238965
3,1,5.254128509999999,0.240297
1,7,7.309824721,0.222813
7,1,7.388626964,0.218902
1,9,1.16437484,0.402046
9,1,1.076221509,0.403219
2,3,0.885069883,0.106992
3,2,0.87933766,0.108032
3,6,5.963515309,0.109499
6,3,6.0,0.107665
3,7,0.870143949,0.349058
7,3,0.987279904,0.346955
4,6,1.3974634670000001,0.153312
6,4,1.0322326499999999,0.151643
4,8,6.6801044560000005,0.089394
8,4,6.223710971,0.090973
5,10,3.9702334070000003,0.15102
10,5,3.954624913,0.148699
5,11,0.934463935,0.38247
11,5,0.882819848,0.374745
6,8,6.0,0.043012
8,6,6.0,0.038664
6,13,2.232228547,0.283196
13,6,1.834137753,0.279406
6,17,1.370884143,0.364887
17,6,1.24594996,0.361371
7,9,0.827932876,0.105565
9,7,0.825,0.104603
7,13,5.919941039,0.088559
13,7,8.0,0.092749
8,11,6.0,0.085073
11,8,6.0,0.085183
8,16,6.44170193,0.177718
16,8,4.44501501,0.176796
9,12,0.97389264,0.14344
12,9,0.970976785,0.142648
9,13,0.875,0.064058
13,9,0.875,0.06509
10,11,8.0,0.026278
11,10,8.0,0.026149
10,18,3.9,0.151084
18,10,2.913625342,0.149754
10,20,5.719303943,0.166898
20,10,6.009002354000001,0.169507
11,19,1.1244076330000001,0.375603
19,11,1.617706447,0.372797
13,14,4.394231888999999,0.135662
14,13,4.320225018,0.125066
13,15,1.910935331,0.285875
15,13,2.863541072,0.296532
14,17,5.9462887570000005,0.101234
17,14,4.9042419289999994,0.105394
14,22,2.840485893,0.152652
22,14,2.89584662,0.146429
16,17,6.321013829000001,0.021253
17,16,4.2094537899999995,0.022086
16,19,6.703328686,0.068955
19,16,7.034073767,0.069246
16,22,4.469882549,0.048602
22,16,7.627741159,0.048681
17,22,1.886210086,0.173992
22,17,1.8841900089999999,0.16739
18,19,6.192450268,0.035226
19,18,6.293127608,0.055958
18,21,8.0,0.079145
21,18,5.449818119,0.079639
19,22,2.023075785,0.181953
22,19,1.606326133,0.177751
20,21,2.644724412,0.298718
21,20,2.4163906969999998,0.280603
20,30,6.0,0.185326
30,20,6.0,0.187372
20,58,2.479370349,0.187847
58,20,2.6304126930000002,0.190582
21,22,4.493711985,0.105465
22,21,4.4959288310000005,0.104238
21,23,8.0,0.066967
23,21,8.0,0.066174
22,23,0.877861868,0.178312
23,22,0.9601670299999999,0.178258
22,25,2.85310466,0.209962
