init_node,term_node,capacity,length
1,117,9.0,1.090458488
2,87,9.0,1.090458488
3,74,9.0,1.090458488
4,233,9.0,1.090458488
5,165,9.0,1.090458488
6,213,9.0,1.090458488
7,253,9.0,1.090458488
8,411,5.4,1.0
9,379,5.4,1.0
9,395,5.4,1.0
10,338,5.4,1.0
10,362,5.4,1.0
11,309,5.4,1.0
12,275,5.4,1.0
13,262,5.4,1.0
14,257,5.4,1.0
15,254,5.4,1.0
16,263,5.4,1.0
17,276,5.4,1.0
18,322,5.4,1.0
18,348,5.4,1.0
19,364,5.4,1.0
19,380,5.4,1.0
20,397,5.4,1.0
21,412,5.4,1.0
21,413,5.4,1.0
22,414,5.4,1.0
22,415,5.4,1.0
23,416,5.4,1.0
24,266,12.6,0.149068323
24,267,12.6,0.149068323
25,268,12.6,0.149068323
25,269,12.6,0.149068323
26,273,12.6,0.149068323
26,274,12.6,0.149068323
27,302,12.6,0.149068323
27,303,12.6,0.149068323
28,303,12.6,0.149068323
28,304,12.6,0.149068323
29,308,12.6,0.149068323
29,337,12.6,0.149068323
30,340,12.6,0.149068323
30,341,12.6,0.149068323
31,329,12.6,0.149068323
31,330,12.6,0.149068323
32,332,12.6,0.149068323
32,333,12.6,0.149068323
33,337,12.6,0.149068323
33,361,12.6,0.149068323
34,369,12.6,0.149068323
34,385,12.6,0.149068323
35,373,12.6,0.149068323
35,389,12.6,0.149068323
36,378,12.6,0.149068323
36,394,12.6,0.149068323
37,401,12.6,0.149068323
37,402,12.6,0.149068323
38,406,12.6,0.149068323
38,407,12.6,0.149068323
39,266,5.4,1.459848485
39,267,5.4,1.459848485
40,268,5.4,1.320075758
40,269,5.4,1.320075758
41,273,5.4,1.0
41,274,5.4,1.0
42,302,5.4,1.0
42,303,5.4,1.0
43,303,5.4,1.540151515
43,304,5.4,1.540151515
44,308,5.4,1.0
44,337,5.4,3.0
45,340,5.4,1.0
45,341,5.4,1.0
46,329,5.4,1.0
46,330,5.4,1.0
47,332,5.4,0.920075758
47,333,5.4,0.940151515
48,337,5.4,1.0
48,361,5.4,1.0
49,369,5.4,1.0
49,385,5.4,1.0
50,373,5.4,1.0
50,389,5.4,1.0
51,378,5.4,1.0
51,394,5.4,1.0
52,401,5.4,1.0
52,402,5.4,1.0
53,406,5.4,1.079924242
53,407,5.4,1.059848485
54,56,9.0,0.333333333
54,230,9.0,0.333333333
55,59,9.0,0.333333333
56,102,9.0,0.333333333
57,54,9.0,0.333333333
57,235,9.0,0.333333333
58,137,9.0,0.333333333
58,145,9.0,0.333333333
59,146,9.0,0.333333333
60,102,9.0,0.333333333
60,230,9.0,0.333333333
61,136,9.0,0.333333333
62,2,9.0,1.090458488
63,62,7.2,1.090458488
64,63,7.2,0.545229244
64,189,7.2,0.333333333
65,64,7.2,0.349029327
66,65,7.2,0.229037588
67,66,7.2,0.272614622
67,260,1.8,0.5
68,67,7.2,1.755679471
69,68,7.2,0.272614622
69,258,1.8,0.5
70,69,7.2,1.406650145
71,70,7.2,0.272614622
71,255,1.8,0.5
72,71,7.2,0.272614622
73,72,7.2,0.468814539
73,141,7.2,0.333333333
74,73,7.2,1.090458488
75,3,9.0,1.090458488
76,75,7.2,1.090458488
77,76,7.2,0.468814539
77,141,7.2,0.333333333
78,77,7.2,0.272614622
79,78,7.2,0.272614622
79,256,1.8,0.5
80,79,7.2,1.406650145
81,80,7.2,0.272614622
81,259,1.8,0.5
82,81,7.2,1.755679471
83,82,7.2,0.272614622
83,261,1.8,0.5
84,83,7.2,0.229037588
85,84,7.2,0.349029327
86,85,7.2,0.545229244
86,189,7.2,0.333333333
87,86,7.2,1.090458488
88,1,9.0,1.090458488
89,88,7.2,1.090458488
90,89,7.2,0.272614622
90,293,1.8,0.5
91,90,7.2,0.229037588
92,91,7.2,0.316191656
93,92,7.2,0.349029327
93,183,7.2,0.333333333
93,195,7.2,0.333333333
94,93,7.2,0.697852127
95,94,7.2,0.272614622
95,290,1.8,0.5
96,95,7.2,1.243081371
97,96,7.2,0.272614622
97,288,1.8,0.5
98,97,7.2,0.621643949
99,98,7.2,0.272614622
99,283,1.8,0.5
100,99,7.2,0.392606361
101,100,7.2,0.272614622
101,278,1.8,0.5
102,101,7.2,0.774266832
103,59,9.0,0.333333333
103,61,9.0,0.333333333
103,237,9.0,0.333333333
104,103,7.2,0.774266832
105,104,7.2,0.272614622
105,279,1.8,0.5
106,105,7.2,0.392606361
107,106,7.2,0.272614622
107,284,1.8,0.5
108,107,7.2,0.621643949
109,108,7.2,0.272614622
109,289,1.8,0.5
110,109,7.2,1.243081371
111,110,7.2,0.272614622
111,291,1.8,0.5
112,111,7.2,0.697852127
113,112,7.2,0.349029327
113,183,7.2,0.333333333
113,195,7.2,0.333333333
114,113,7.2,0.316191656
115,114,7.2,0.229037588
116,115,7.2,0.272614622
116,294,1.8,0.5
117,116,7.2,1.090458488
118,5,9.0,1.090458488
119,118,7.2,1.090458488
120,119,7.2,0.272614622
120,400,1.8,0.5
121,120,7.2,0.545229244
122,121,7.2,0.621643949
123,122,7.2,0.272614622
123,382,1.8,0.5
124,123,7.2,0.8614209
125,124,7.2,0.272614622
125,366,1.8,0.5
126,125,7.2,0.8614209
127,126,7.2,0.272614622
